raceID,raceCountry,raceDistance,raceName
2221,USA,50km,seneca creek greenway trail 50
2136,USA,50km,post oak lodge 50k trail challeng
4513,CZE,100km,krakonosova stovka 100 k
3617,USA,100mi,the great new york 100 mile running expositio
3741,USA,50km,toughest n��� texas trail runs 50
2712,USA,50km,mcdowell mountain frenzy 50 k
687,USA,50km,savannah ultra urban 50k ru
2774,CHN,100km,shanhaiguan 100
1297,NED,50km,woldberg trail
6779,USA,50km,hashawha hills 50 km trail ru
2959,CHN,50km,great walker guangzhou - 50 k
4762,BEL,100km,pinksterlope
7161,NZL,100km,great naseby water 100 km rac
2432,NOR,50km,ecotrail of oslo 50 k
70,MRI,50km,xtreme dodo trai
3270,USA,50mi,san juan solstice 50 mile ru
8316,CHN,50km,an oriental journey - jiuqua
7848,USA,50km,yakima skyline rim 50
2958,IND,50km,shivalik ultra run 50 k
5530,USA,50mi,land between the lakes 50 mile trail ru
4592,TPE,100km,taipei 12hr ultra marathon night run - 100km spli
6715,AUS,50km,canberra 12hr race - 50km spli
5185,USA,50km,mokelumne river 50 km trail ru
3578,NED,50km,zes uurs ultraloop stein - 50km spli
5343,POR,50km,porto da cruz natur
6584,CHN,50km,shenzhen 50 km int. trail rac
1537,USA,50km,cimarron endurance ru
14,USA,100mi,cry me a river 100 mile trail ru
443,JPN,50km,koyasan and ryujin-onsen 50 km ultra maratho
2540,GRE,50km,tihio race (wolf's race
7009,USA,50km,ruth anderson ultra 50k
6993,USA,50km,golden gate 50 km winter trail ru
3866,MAS,100km,janda baik ultra 100 k
5263,USA,50mi,lake okeechobee scenic trail run (lost) 50m
5243,USA,50km,mill stone 50
5732,KOR,50km,jeju city 50 k
6402,USA,50km,cactus to cloud trail ru
5145,CHN,50km,kaileshi ultra run - wuha
4418,JPN,100mi,shinetsu five mountains trail 100 mil
2072,ITA,50km,schio ultra jungl
7977,USA,100mi,riverlands 10
4594,GER,50km,aschersleben german 50km race wal
1213,AUS,100km,the blackall 10
709,HKG,100km,rebel walker 10
1381,GER,50km,leipziger 100 km lauf am auensee - 50km spli
2364,USA,100mi,the bear 100 mile endurance ru
506,SWE,100mi,personliga rekordens t+�vling 24 hour - 100mi spli
8385,USA,100mi,red rock & beyond 100
7546,ROU,100km,transylvania one hundre
878,ARG,50km,desaf+�o ansilta 50
6644,CZE,50km,libouchecky ultramaraton 50 k
2740,USA,50km,eagleton mine camp trail challeng
311,HKG,50km,msig hk5
658,USA,50km,ray miller 50 km trail rac
1580,PUR,50mi,las 50 de san jorge - 50 mile
4437,USA,50mi,the fall 5
3472,USA,50km,the bear chase 50 k
103,ROU,50km,campionatul national 50km mar
6162,IND,50km,night marathon carnival - 50k
4699,USA,50km,marquette trail 50 k
1937,FRA,100km,steenwerck 100km course de jou
769,USA,100km,indiana trail 100 k
7114,GRE,100km,olympus mythical trail 100
3423,SWE,50km,tj+?rnarparen 50k
4460,CHN,50km,trailcatcher the 50k challeng
7038,CAN,50km,relentless at the ark trail rac
2139,GER,100km,int. 100km-lauf gr+-nheide/st+?rit
5535,USA,50km,drummer hill trail rac
3968,CHN,100km,aa 100 km - kunmin
2326,INA,100km,sentul hill trail run 100 k
5430,RUS,100km,ultramarathon race for surviva
5984,USA,100km,croom zoom 100 km ru
7841,USA,100mi,old dominion 100 mile endurance ru
7400,NOR,50km,namsen ultr
55,GER,50km,50km lahntallauf. marbur
7084,USA,50km,sierra azul trail challeng
3009,JPN,100km,tamagawa ultra marathon - 100 k
5217,RSA,100km,skyrun 100 k
4979,AUS,50mi,sri chinmoy 12 hour races sydney - 50mi spli
8050,CHN,50km,ultra trail shenzhen tour (utst
6242,ESP,50km,trencacims pa+-ls - ultramarat+
2539,GER,50km,self-transcendence 6-stunden-lauf n+-rnberg - 50 km spli
7849,AUS,100mi,canberra 24hr race - 100mi spli
2321,USA,50km,orange curtain 50km ultra rac
533,CAN,100mi,self-transcendence 100mi race ottaw
